Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7221189,46.8611355","24.5914692,46.5433147",2 PM,49.1 km,52.0,62.0
"24.7221189,46.8611355","24.5914692,46.5433147",2 PM,54.6 km,48.0,60.333333333333336
"24.7221189,46.8611355","24.5914692,46.5433147",3 PM,42.8 km,45.0,72.0
"24.7221189,46.8611355","24.5914692,46.5433147",3 PM,54.6 km,48.0,59.5
"24.7221189,46.8611355","24.5914692,46.5433147",4 PM,42.8 km,45.0,72.14285714285714
"24.7221189,46.8611355","24.5914692,46.5433147",5 PM,42.8 km,45.0,69.77777777777777
"24.7221189,46.8611355","24.5914692,46.5433147",5 PM,49.1 km,52.0,74.0
"24.7221189,46.8611355","24.5914692,46.5433147",6 AM,42.8 km,47.0,48.5
"24.7221189,46.8611355","24.5914692,46.5433147",6 AM,51.0 km,55.0,50.666666666666664
"24.7221189,46.8611355","24.5914692,46.5433147",6 AM,52.3 km,56.0,53.0
"24.7221189,46.8611355","24.5914692,46.5433147",6 PM,43.2 km,46.0,60.0
"24.7221189,46.8611355","24.5914692,46.5433147",6 PM,47.5 km,45.0,53.22222222222222
"24.7221189,46.8611355","24.5914692,46.5433147",7 AM,51.0 km,55.0,51.0
"24.7221189,46.8611355","24.5914692,46.5433147",7 AM,51.5 km,56.0,51.25
"24.7221189,46.8611355","24.5914692,46.5433147",7 PM,47.5 km,45.0,53.0
"24.7221189,46.8611355","24.5914692,46.5433147",8 AM,51.0 km,55.0,50.75
"24.7221189,46.8611355","24.5914692,46.5433147",8 AM,51.6 km,56.0,51.0
"24.7221189,46.8611355","24.5914692,46.5433147",8 AM,54.6 km,48.0,55.0
"24.7221189,46.8611355","24.5914692,46.5433147",9 AM,54.6 km,48.833333333333336,56.833333333333336
"24.7406772,46.6947625","24.6459853,46.7146782",1 PM,14.9 km,24.0,34.0
"24.7406772,46.6947625","24.6459853,46.7146782",1 PM,15.2 km,25.0,31.0
"24.7406772,46.6947625","24.6459853,46.7146782",1 PM,15.7 km,23.0,31.0
"24.7406772,46.6947625","24.6459853,46.7146782",1 PM,18.6 km,27.0,33.0
"24.7406772,46.6947625","24.6459853,46.7146782",10 AM,15.7 km,23.0,30.0
"24.7406772,46.6947625","24.6459853,46.7146782",10 AM,18.6 km,27.0,30.0
"24.7406772,46.6947625","24.6459853,46.7146782",2 PM,15.2 km,25.0,35.0
"24.7406772,46.6947625","24.6459853,46.7146782",2 PM,15.7 km,23.0,41.0
"24.7406772,46.6947625","24.6459853,46.7146782",2 PM,16.0 km,26.0,39.0
"24.7406772,46.6947625","24.6459853,46.7146782",2 PM,18.6 km,27.0,36.0
"24.7406772,46.6947625","24.6459853,46.7146782",3 PM,14.9 km,25.0,39.0
"24.7406772,46.6947625","24.6459853,46.7146782",3 PM,15.2 km,25.0,39.5
"24.7406772,46.6947625","24.6459853,46.7146782",3 PM,15.7 km,23.0,40.0
"24.7406772,46.6947625","24.6459853,46.7146782",4 PM,14.9 km,24.0,44.0
"24.7406772,46.6947625","24.6459853,46.7146782",4 PM,15.2 km,25.0,41.4
"24.7406772,46.6947625","24.6459853,46.7146782",4 PM,16.8 km,27.0,44.0
"24.7406772,46.6947625","24.6459853,46.7146782",5 PM,15.2 km,25.0,45.5
"24.7406772,46.6947625","24.6459853,46.7146782",5 PM,15.7 km,23.0,48.42857142857143
"24.7406772,46.6947625","24.6459853,46.7146782",5 PM,18.6 km,27.0,46.0
"24.7406772,46.6947625","24.6459853,46.7146782",6 AM,15.7 km,23.0,21.2
"24.7406772,46.6947625","24.6459853,46.7146782",6 AM,16.1 km,24.0,19.0
"24.7406772,46.6947625","24.6459853,46.7146782",6 PM,14.9 km,25.0,37.0
"24.7406772,46.6947625","24.6459853,46.7146782",6 PM,15.2 km,25.0,36.666666666666664
"24.7406772,46.6947625","24.6459853,46.7146782",6 PM,15.7 km,23.0,37.0
"24.7406772,46.6947625","24.6459853,46.7146782",6 PM,16.9 km,27.0,44.0
"24.7406772,46.6947625","24.6459853,46.7146782",6 PM,18.6 km,27.0,41.666666666666664
"24.7406772,46.6947625","24.6459853,46.7146782",7 AM,14.9 km,25.0,30.5
"24.7406772,46.6947625","24.6459853,46.7146782",7 AM,15.7 km,23.333333333333332,27.0
"24.7406772,46.6947625","24.6459853,46.7146782",7 AM,16.2 km,26.0,31.0
"24.7406772,46.6947625","24.6459853,46.7146782",7 PM,15.2 km,25.0,35.0
"24.7406772,46.6947625","24.6459853,46.7146782",7 PM,15.7 km,23.0,34.0
"24.7406772,46.6947625","24.6459853,46.7146782",8 AM,14.9 km,25.0,29.0
"24.7406772,46.6947625","24.6459853,46.7146782",8 AM,15.7 km,23.0,30.0
"24.7406772,46.6947625","24.6459853,46.7146782",8 AM,18.6 km,27.0,31.0
"24.7406772,46.6947625","24.6459853,46.7146782",9 AM,14.9 km,24.333333333333332,27.0
"24.7406772,46.6947625","24.6459853,46.7146782",9 AM,15.7 km,23.0,27.666666666666668
"24.7674375,46.6430625","24.7012889,46.8298925",1 PM,34.2 km,44.0,47.5
"24.7674375,46.6430625","24.7012889,46.8298925",1 PM,37.0 km,41.75,42.25
"24.7674375,46.6430625","24.7012889,46.8298925",10 AM,33.7 km,32.0,35.75
"24.7674375,46.6430625","24.7012889,46.8298925",2 PM,34.2 km,42.666666666666664,55.0
"24.7674375,46.6430625","24.7012889,46.8298925",2 PM,34.3 km,44.0,53.0
"24.7674375,46.6430625","24.7012889,46.8298925",3 PM,33.4 km,46.0,54.0
"24.7674375,46.6430625","24.7012889,46.8298925",3 PM,34.2 km,44.0,56.0
"24.7674375,46.6430625","24.7012889,46.8298925",4 PM,34.8 km,47.666666666666664,65.0
"24.7674375,46.6430625","24.7012889,46.8298925",4 PM,35.5 km,48.0,60.0
"24.7674375,46.6430625","24.7012889,46.8298925",4 PM,37.0 km,42.0,68.0
"24.7674375,46.6430625","24.7012889,46.8298925",4 PM,37.3 km,41.0,63.0
"24.7674375,46.6430625","24.7012889,46.8298925",4 PM,38.2 km,47.0,63.0
"24.7674375,46.6430625","24.7012889,46.8298925",5 PM,33.7 km,32.0,67.0
"24.7674375,46.6430625","24.7012889,46.8298925",5 PM,34.2 km,46.0,60.0
"24.7674375,46.6430625","24.7012889,46.8298925",5 PM,34.8 km,45.5,64.0
"24.7674375,46.6430625","24.7012889,46.8298925",5 PM,35.2 km,36.0,69.0
"24.7674375,46.6430625","24.7012889,46.8298925",5 PM,36.4 km,42.0,65.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 AM,33.7 km,32.0,27.6
"24.7674375,46.6430625","24.7012889,46.8298925",6 AM,37.8 km,37.0,33.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,33.7 km,32.0,61.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,34.2 km,43.25,56.5
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,34.3 km,44.0,55.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,34.4 km,40.0,52.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,35.5 km,42.0,57.0
"24.7674375,46.6430625","24.7012889,46.8298925",6 PM,35.9 km,42.5,54.5
"24.7674375,46.6430625","24.7012889,46.8298925",7 AM,33.7 km,32.0,35.833333333333336
"24.7674375,46.6430625","24.7012889,46.8298925",7 PM,35.2 km,36.0,52.0
"24.7674375,46.6430625","24.7012889,46.8298925",7 PM,36.0 km,39.0,53.0
"24.7674375,46.6430625","24.7012889,46.8298925",8 AM,33.7 km,32.0,34.5
"24.7674375,46.6430625","24.7012889,46.8298925",9 AM,33.7 km,32.0,33.833333333333336
"24.7674375,46.6430625","24.961072,46.6987871",1 PM,31.8 km,31.0,31.0
"24.7674375,46.6430625","24.961072,46.6987871",1 PM,34.5 km,32.0,30.0
"24.7674375,46.6430625","24.961072,46.6987871",10 AM,31.8 km,31.0,28.5
"24.7674375,46.6430625","24.961072,46.6987871",2 PM,34.5 km,32.0,30.0
"24.7674375,46.6430625","24.961072,46.6987871",3 PM,34.5 km,32.0,32.25
