Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7674375,46.6430625","24.7102105,46.6283024",2 PM,14.0 km,17.0,17.5
"24.7674375,46.6430625","24.7102105,46.6283024",2 PM,14.4 km,16.0,17.0
"24.7674375,46.6430625","24.7102105,46.6283024",2 PM,15.1 km,18.0,20.0
"24.7674375,46.6430625","24.7102105,46.6283024",3 PM,14.3 km,20.0,20.0
"24.7674375,46.6430625","24.7102105,46.6283024",3 PM,15.1 km,18.0,21.0
"24.7674375,46.6430625","24.7102105,46.6283024",3 PM,15.3 km,19.0,19.0
"24.7674375,46.6430625","24.7102105,46.6283024",4 PM,14.3 km,20.0,20.2
"24.7674375,46.6430625","24.7102105,46.6283024",4 PM,15.3 km,19.0,21.5
"24.7674375,46.6430625","24.7102105,46.6283024",5 PM,14.3 km,20.142857142857142,22.0
"24.7674375,46.6430625","24.7102105,46.6283024",5 PM,15.3 km,19.0,22.5
"24.7674375,46.6430625","24.7102105,46.6283024",5 PM,17.7 km,17.5,21.0
"24.7674375,46.6430625","24.7102105,46.6283024",6 AM,14.0 km,17.0,14.166666666666666
"24.7674375,46.6430625","24.7102105,46.6283024",6 PM,14.3 km,20.0,19.571428571428573
"24.7674375,46.6430625","24.7102105,46.6283024",6 PM,15.1 km,18.0,21.0
"24.7674375,46.6430625","24.7102105,46.6283024",6 PM,15.3 km,19.0,18.75
"24.7674375,46.6430625","24.7102105,46.6283024",7 AM,14.0 km,17.0,15.75
"24.7674375,46.6430625","24.7102105,46.6283024",7 AM,18.0 km,17.0,16.5
"24.7674375,46.6430625","24.7102105,46.6283024",7 PM,15.3 km,19.0,19.0
"24.7674375,46.6430625","24.7102105,46.6283024",7 PM,18.0 km,17.0,17.0
"24.7674375,46.6430625","24.7102105,46.6283024",8 AM,14.0 km,17.0,17.0
"24.7674375,46.6430625","24.7102105,46.6283024",8 AM,18.0 km,17.0,16.0
"24.7674375,46.6430625","24.7102105,46.6283024",9 AM,14.4 km,16.0,17.0
"24.7674375,46.6430625","24.7102105,46.6283024",9 AM,18.0 km,17.0,16.0
"24.7674375,46.6430625","24.7221189,46.8611355",1 PM,35.3 km,32.0,42.4
"24.7674375,46.6430625","24.7221189,46.8611355",2 PM,35.3 km,32.0,46.5
"24.7674375,46.6430625","24.7221189,46.8611355",2 PM,39.2 km,40.0,42.0
"24.7674375,46.6430625","24.7221189,46.8611355",2 PM,39.9 km,44.0,47.0
"24.7674375,46.6430625","24.7221189,46.8611355",3 PM,35.3 km,32.0,48.5
"24.7674375,46.6430625","24.7221189,46.8611355",3 PM,39.2 km,40.0,49.0
"24.7674375,46.6430625","24.7221189,46.8611355",3 PM,39.9 km,44.0,53.0
"24.7674375,46.6430625","24.7221189,46.8611355",4 PM,35.3 km,32.0,68.5
"24.7674375,46.6430625","24.7221189,46.8611355",4 PM,36.8 km,35.0,64.0
"24.7674375,46.6430625","24.7221189,46.8611355",4 PM,37.7 km,41.0,56.666666666666664
